"Date","Price","Open","High","Low","Change %"
"Jan 31, 2023","2.830","2.830","2.830","2.830","0.00%"
"Jan 30, 2023","2.830","2.830","2.830","2.830","0.00%"
"Jan 27, 2023","2.830","2.830","2.830","2.830","0.00%"
"Jan 26, 2023","2.830","2.830","2.830","2.830","0.00%"
"Jan 25, 2023","2.830","2.830","2.830","2.830","0.00%"
"Jan 24, 2023","2.830","2.830","2.830","2.830","0.00%"
"Jan 23, 2023","2.830","2.830","2.830","2.830","0.00%"
"Jan 20, 2023","2.830","2.830","2.830","2.830","0.00%"
"Jan 19, 2023","2.830","2.830","2.830","2.830","0.00%"
"Jan 18, 2023","2.830","2.830","2.830","2.830","0.00%"
"Jan 17, 2023","2.830","2.830","2.830","2.830","0.00%"
"Jan 16, 2023","2.830","2.830","2.830","2.830","0.00%"
"Jan 13, 2023","2.830","2.830","2.830","2.830","0.00%"
"Jan 10, 2023","2.830","2.830","2.830","2.830","0.00%"
"Jan 09, 2023","2.830","2.830","2.830","2.830","0.00%"
"Jan 06, 2023","2.830","2.830","2.830","2.830","0.00%"
"Jan 05, 2023","2.830","2.830","2.830","2.830","0.00%"
"Jan 04, 2023","2.830","2.830","2.830","2.830","0.00%"
"Jan 03, 2023","2.830","2.830","2.830","2.830","0.00%"
"Dec 30, 2022","2.830","2.830","2.830","2.830","0.00%"
"Dec 29, 2022","2.830","2.830","2.830","2.830","0.00%"
"Dec 28, 2022","2.830","2.830","2.830","2.830","0.00%"
"Dec 27, 2022","2.830","2.830","2.830","2.830","0.00%"
"Dec 23, 2022","2.830","2.830","2.830","2.830","0.00%"
"Dec 22, 2022","2.830","2.830","2.830","2.830","0.00%"
"Dec 21, 2022","2.830","2.830","2.830","2.830","0.00%"
"Dec 19, 2022","2.830","2.830","2.830","2.830","0.00%"
"Dec 16, 2022","2.830","2.830","2.830","2.830","0.00%"
"Dec 15, 2022","2.830","2.830","2.830","2.830","0.00%"
"Dec 14, 2022","2.830","2.830","2.830","2.830","0.00%"
"Dec 13, 2022","2.830","2.830","2.830","2.830","0.00%"
"Dec 12, 2022","2.830","2.830","2.830","2.830","0.00%"
"Dec 09, 2022","2.830","2.830","2.830","2.830","0.00%"
"Dec 08, 2022","2.830","2.830","2.830","2.830","0.00%"
"Dec 07, 2022","2.830","2.830","2.830","2.830","0.00%"
"Dec 06, 2022","2.830","2.830","2.830","2.830","0.00%"
"Dec 05, 2022","2.830","2.830","2.830","2.830","0.00%"
"Dec 02, 2022","2.830","2.830","2.830","2.830","0.00%"
"Dec 01, 2022","2.830","2.830","2.830","2.830","0.00%"
"Nov 30, 2022","2.830","2.830","2.830","2.830","0.00%"
"Nov 29, 2022","2.830","2.830","2.830","2.830","0.00%"
"Nov 25, 2022","2.830","2.830","2.830","2.830","0.00%"
"Nov 24, 2022","2.830","2.830","2.830","2.830","0.00%"
"Nov 23, 2022","2.830","2.830","2.830","2.830","0.00%"
"Nov 22, 2022","2.830","2.830","2.830","2.830","0.00%"
"Nov 17, 2022","2.830","2.830","2.830","2.830","0.00%"
"Nov 16, 2022","2.830","2.830","2.830","2.830","0.00%"
"Nov 15, 2022","2.830","2.830","2.830","2.830","0.00%"
"Nov 14, 2022","2.830","2.830","2.830","2.830","0.00%"
"Nov 11, 2022","2.830","2.830","2.830","2.830","0.00%"
"Nov 10, 2022","2.830","2.830","2.830","2.830","0.00%"
"Nov 09, 2022","2.830","2.650","2.830","2.650","6.79%"
"Nov 08, 2022","2.650","2.650","2.650","2.650","0.00%"
"Nov 07, 2022","2.650","2.650","2.650","2.650","0.00%"
"Nov 04, 2022","2.650","2.650","2.650","2.650","0.00%"
"Nov 03, 2022","2.650","2.650","2.650","2.650","0.00%"
"Nov 02, 2022","2.650","2.650","2.650","2.650","0.00%"
"Nov 01, 2022","2.650","2.650","2.650","2.650","0.00%"
"Oct 31, 2022","2.650","2.650","2.650","2.650","0.00%"
"Oct 28, 2022","2.650","2.650","2.650","2.650","0.00%"
"Oct 27, 2022","2.650","2.650","2.650","2.650","0.00%"
"Oct 26, 2022","2.650","2.650","2.650","2.650","0.00%"
"Oct 25, 2022","2.650","2.650","2.650","2.650","0.00%"
"Oct 21, 2022","2.650","2.650","2.650","2.650","0.00%"
"Oct 20, 2022","2.650","2.650","2.650","2.650","0.00%"
"Oct 19, 2022","2.650","2.650","2.650","2.650","0.00%"
"Oct 18, 2022","2.650","2.650","2.650","2.650","0.00%"
"Oct 17, 2022","2.650","2.650","2.650","2.650","0.00%"
"Oct 14, 2022","2.650","2.650","2.650","2.650","0.00%"
"Oct 13, 2022","2.650","2.650","2.650","2.650","0.00%"
"Oct 12, 2022","2.650","2.650","2.650","2.650","0.00%"
"Oct 11, 2022","2.650","2.650","2.650","2.650","0.00%"
"Oct 07, 2022","2.650","2.650","2.650","2.650","0.00%"
"Oct 06, 2022","2.650","2.650","2.650","2.650","0.00%"
"Oct 05, 2022","2.650","2.650","2.650","2.650","0.00%"
"Oct 04, 2022","2.650","2.650","2.650","2.650","0.00%"
"Oct 03, 2022","2.650","2.650","2.650","2.650","0.00%"
"Sep 30, 2022","2.650","2.650","2.650","2.650","0.00%"
"Sep 29, 2022","2.650","2.650","2.650","2.650","0.00%"
"Sep 28, 2022","2.650","2.650","2.650","2.650","0.00%"
"Sep 27, 2022","2.650","2.650","2.650","2.650","0.00%"
